x,h,j
1.197666601082875e-10,-2.3906754789156776e-21,-1.4344052873494065e-21
1.2008015564639288e-10,-2.4032072966769895e-21,-1.4419243780061939e-21
1.203944717755741e-10,-2.4158048056865842e-21,-1.4494828834119506e-21
1.2070961064377105e-10,-2.4284683502951344e-21,-1.4570810101770808e-21
1.210255744045459e-10,-2.4411982766583792e-21,-1.4647189659950277e-21
1.213423652170994e-10,-2.4539949327466556e-21,-1.4723969596479935e-21
1.2165998524628264e-10,-2.466858668354285e-21,-1.480115201012571e-21
1.2197843666261327e-10,-2.4797898351091925e-21,-1.4878739010655158e-21
1.2229772164229195e-10,-2.4927887864825872e-21,-1.4956732718895524e-21
1.226178423672141e-10,-2.5058558777984946e-21,-1.5035135266790968e-21
1.2293880102498643e-10,-2.5189914662435338e-21,-1.5113948797461205e-21
1.2326059980894323e-10,-2.5321959108767426e-21,-1.5193175465260456e-21
1.2358324091815808e-10,-2.5454695726392503e-21,-1.5272817435835504e-21
1.2390672655746266e-10,-2.5588128143643034e-21,-1.5352876886185822e-21
1.2423105893745844e-10,-2.5722260007870456e-21,-1.5433356004722274e-21
1.2455624027453327e-10,-2.5857094985545437e-21,-1.5514256991327264e-21
1.24882272790878e-10,-2.5992636762358776e-21,-1.5595582057415267e-21
1.2520915871449862e-10,-2.612888904332084e-21,-1.5677333425992508e-21
1.255369002792332e-10,-2.626585555286357e-21,-1.5759513331718144e-21
1.2586549972476833e-10,-2.640354003494276e-21,-1.5842124020965657e-21
1.261949592966517e-10,-2.65419462531393e-21,-1.5925167751883583e-21
1.265252812463088e-10,-2.668107799076257e-21,-1.6008646794457543e-21
1.2685646783105988e-10,-2.682093905095455e-21,-1.609256343057273e-21
1.2718852131413178e-10,-2.6961533256792255e-21,-1.6176919954075355e-21
1.2752144396467752e-10,-2.710286445139398e-21,-1.626171867083639e-21
1.2785523805778822e-10,-2.724493649802283e-21,-1.63469618988137e-21
1.2818990587451012e-10,-2.7387753280192942e-21,-1.6432651968115766e-21
1.2852544970186187e-10,-2.7531318701776373e-21,-1.6518791221065825e-21
1.2886187183284683e-10,-2.767563668710841e-21,-1.6605382012265046e-21
1.291991745664705e-10,-2.782071118109553e-21,-1.669242670865732e-21
1.295373602077577e-10,-2.796654614932395e-21,-1.6779927689594371e-21
1.298764310677647e-10,-2.811314557816639e-21,-1.6867887346899835e-21
1.3021638946359908e-10,-2.826051347489286e-21,-1.695630808493572e-21
1.3055723771843215e-10,-2.840865386777867e-21,-1.7045192320667203e-21
1.308989781615161e-10,-2.8557570806215106e-21,-1.7134542483729065e-21
1.312416131282017e-10,-2.870726836082094e-21,-1.7224361016492566e-21
1.3158514495995108e-10,-2.8857750623552232e-21,-1.731465037413134e-21
1.3192957600435523e-10,-2.9009021707814902e-21,-1.7405413024688944e-21
1.3227490861515164e-10,-2.9161085748577862e-21,-1.7496651449146717e-21
1.3262114515223733e-10,-2.931394690248467e-21,-1.7588368141490802e-21
1.3296828798168635e-10,-2.9467609347967792e-21,-1.7680565608780677e-21
1.333163394757678e-10,-2.96220772853636e-21,-1.777324637121816e-21
1.3366530201295805e-10,-2.9777354937025477e-21,-1.786641296221529e-21
1.3401517797796157e-10,-2.993344654744119e-21,-1.7960067928464716e-21
1.3436596976172314e-10,-3.0090356383347164e-21,-1.80542138300083e-21
1.3471767976144605e-10,-3.0248088733845886e-21,-1.814885324030753e-21
1.3507031038061004e-10,-3.0406647910523886e-21,-1.8243988746314332e-21
1.3542386402898437e-10,-3.056603824756808e-21,-1.8339622948540847e-21
1.3577834312264607e-10,-3.0726264101885014e-21,-1.843575846113101e-21
1.36133750083998e-10,-3.0887329853220707e-21,-1.8532397911932423e-21
1.3649008734178213e-10,-3.104923990427886e-21,-1.8629543942567317e-21
1.368473573310978e-10,-3.121199868084194e-21,-1.8727199208505166e-21
1.3720556249342e-10,-3.1375610631892966e-21,-1.8825366379135783e-21
1.375647052766122e-10,-3.15400802297353e-21,-1.892404813784118e-21
1.379247881349475e-10,-3.1705411970116928e-21,-1.902324718207016e-21
1.3828581352912154e-10,-3.187161037235162e-21,-1.9122966223410973e-21
1.386477839262709e-10,-3.2038679979443174e-21,-1.9223207987665904e-21
1.3901070179999178e-10,-3.2206625358210394e-21,-1.932397521492624e-21
1.3937456963035343e-10,-3.237545109941039e-21,-1.9425270659646235e-21
1.3973938990391674e-10,-3.2545161817864776e-21,-1.9527097090718866e-21
1.4010516511375314e-10,-3.2715762152586716e-21,-1.962945729155203e-21
1.4047189775945798e-10,-3.2887256766906023e-21,-1.9732354060143615e-21
1.4083959034716952e-10,-3.305965034859754e-21,-1.9835790209158526e-21
1.412082453895876e-10,-3.3232947610009983e-21,-1.993976856600599e-21
1.4157786540598698e-10,-3.340715328819294e-21,-2.0044291972915765e-21
